date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:47	79021/79021	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261bd62df8cc7fa547834bf8f365156d4%22	https://www.braflix.video/_next/static/chunks/719-55970f9400005160.js	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/_next/static/chunks/719-55970f9400005160.js	(from https://www.braflix.video/)
17:57:47	11126/11126	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a31add7753567c91709753ae2c94fe00%22	https://www.braflix.video/_next/static/chunks/8458-4ce3db2ae0dad631.js	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/_next/static/chunks/8458-4ce3db2ae0dad631.js	(from https://www.braflix.video/)
17:57:47	16987/16987	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fccc12193e1a9005b2450f88baff62ae%22	https://www.braflix.video/_next/static/chunks/3673-d8cd6a11264eaa11.js	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/_next/static/chunks/3673-d8cd6a11264eaa11.js	(from https://www.braflix.video/)
17:57:48	7288/7288	---MCZ	200	added ('OK')	application/javascript	etag:W/%2281962148ecaaae3160bd54849b812f14%22	https://www.braflix.video/_next/static/chunks/pages/index-ca05b558a0e507eb.js	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/_next/static/chunks/pages/index-ca05b558a0e507eb.js	(from https://www.braflix.video/)
17:57:48	3136/3136	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c7bd25e93c9aa3b3d5f6fd7a1c371a2b%22	https://www.braflix.video/_next/static/KN1hYcHrJSoZu5rrnrvWu/_buildManifest.js	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/_next/static/KN1hYcHrJSoZu5rrnrvWu/_buildManifest.js	(from https://www.braflix.video/)
17:57:48	296/296	---MCZ	200	added ('OK')	application/javascript	etag:W/%226596ed095b9c51862fb9619176e048fc%22	https://www.braflix.video/_next/static/KN1hYcHrJSoZu5rrnrvWu/_ssgManifest.js	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/_next/static/KN1hYcHrJSoZu5rrnrvWu/_ssgManifest.js	(from https://www.braflix.video/)
17:57:48	53584/53584	---M--	200	added ('OK')	image/png	etag:%223bebc021c2222aacf1cdd095e3879445%22	https://www.braflix.video/logo.png	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/logo.png	(from https://www.braflix.video/)
17:57:49	24122/24122	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:06%20GMT	https://www.braflix.video/search	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/search	(from https://www.braflix.video/)
17:57:49	173138/173138	---M--	200	added ('OK')	image/jpeg	etag:%226641d44f-2a452%22	https://image.tmdb.org/t/p/original/lLh39Th5plbrQgbQ4zyIULsd0Pp.jpg	C:/My%20Web%20Sites/sdfwdf/image.tmdb.org/t/p/original/lLh39Th5plbrQgbQ4zyIULsd0Pp.jpg	(from https://www.braflix.video/)
17:57:50	19941/19941	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:07%20GMT	https://www.braflix.video/movie/823464?play=true	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/8234646084.html	(from https://www.braflix.video/)
17:57:50	531717/531717	---M--	200	added ('OK')	image/png	etag:%226641d460-81d05%22	https://image.tmdb.org/t/p/original/etL5WzGnHBwOA6Z6F2AIayT3Qdm.png	C:/My%20Web%20Sites/sdfwdf/image.tmdb.org/t/p/original/etL5WzGnHBwOA6Z6F2AIayT3Qdm.png	(from https://www.braflix.video/)
17:57:50	24171/24171	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:08%20GMT	https://www.braflix.video/movie/823464	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/823464.html	(from https://www.braflix.video/)
17:57:50	19226/19226	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:08%20GMT	https://www.braflix.video/tv/239770?play=true	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/2397706084.html	(from https://www.braflix.video/)
17:57:50	26522/26522	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:08%20GMT	https://www.braflix.video/tv/239770	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/239770.html	(from https://www.braflix.video/)
17:57:51	21283/21283	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:09%20GMT	https://www.braflix.video/movie/653346?play=true	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/6533466084.html	(from https://www.braflix.video/)
